year,month,value,date
1865,july,-0.216,1865-07
1865,august,-0.212,1865-08
1865,september,-0.171,1865-09
1865,october,-0.269,1865-10
1865,november,-0.337,1865-11
1865,december,-0.461,1865-12
1866,january,-0.132,1866-01
1866,february,-0.401,1866-02
1866,march,-0.682,1866-03
1866,april,-0.454,1866-04
1866,may,-0.572,1866-05
1866,june,-0.099,1866-06
1866,july,-0.009,1866-07
1866,august,-0.249,1866-08
1866,september,-0.378,1866-09
1866,october,-0.421,1866-10
1866,november,-0.298,1866-11
1866,december,-0.4,1866-12
1867,january,-0.405,1867-01
1867,february,-0.354,1867-02
1867,march,-0.681,1867-03
1867,april,-0.421,1867-04
1867,may,-0.574,1867-05
1867,june,-0.35,1867-06
1867,july,-0.253,1867-07
1867,august,-0.33,1867-08
1867,september,-0.148,1867-09
1867,october,-0.125,1867-10
1867,november,-0.196,1867-11
1867,december,-0.445,1867-12
1868,january,-0.685,1868-01
1868,february,-0.693,1868-02
1868,march,-0.335,1868-03
1868,april,-0.363,1868-04
1868,may,-0.286,1868-05
1868,june,-0.298,1868-06
1868,july,-0.06,1868-07
1868,august,-0.193,1868-08
1868,september,-0.345,1868-09
1868,october,-0.23,1868-10
1868,november,-0.423,1868-11
1868,december,-0.314,1868-12
1869,january,-0.336,1869-01
1869,february,0.131,1869-02
1869,march,-0.626,1869-03
1869,april,-0.406,1869-04
1869,may,-0.31,1869-05
1869,june,-0.385,1869-06
1869,july,-0.417,1869-07
1869,august,-0.168,1869-08
1869,september,-0.172,1869-09
1869,october,-0.293,1869-10
1869,november,-0.282,1869-11
1869,december,-0.537,1869-12
1870,january,-0.211,1870-01
1870,february,-0.454,1870-02
1870,march,-0.498,1870-03
1870,april,-0.333,1870-04
1870,may,-0.298,1870-05
1870,june,-0.231,1870-06
1870,july,-0.073,1870-07
1870,august,-0.258,1870-08
1870,september,-0.202,1870-09
1870,october,-0.443,1870-10
1870,november,-0.266,1870-11
1870,december,-0.666,1870-12
1871,january,-0.558,1871-01
1871,february,-0.672,1871-02
1871,march,-0.172,1871-03
1871,april,-0.222,1871-04
1871,may,-0.362,1871-05
1871,june,-0.286,1871-06
1871,july,-0.082,1871-07
1871,august,-0.322,1871-08
1871,september,-0.361,1871-09
1871,october,-0.373,1871-10
1871,november,-0.523,1871-11
1871,december,-0.489,1871-12
1872,january,-0.599,1872-01
1872,february,-0.62,1872-02
1872,march,-0.524,1872-03
1872,april,-0.385,1872-04
1872,may,-0.142,1872-05
1872,june,-0.279,1872-06
1872,july,-0.146,1872-07
1872,august,0.009,1872-08
1872,september,-0.176,1872-09
1872,october,-0.204,1872-10
1872,november,-0.322,1872-11
1872,december,-0.548,1872-12
1873,january,-0.262,1873-01
1873,february,-0.283,1873-02
1873,march,-0.409,1873-03
1873,april,-0.481,1873-04
1873,may,-0.351,1873-05
1873,june,-0.321,1873-06
1873,july,-0.176,1873-07
1873,august,-0.228,1873-08
1873,september,-0.405,1873-09
1873,october,-0.391,1873-10
1873,november,-0.463,1873-11
1873,december,-0.328,1873-12
1874,january,-0.199,1874-01
1874,february,-0.438,1874-02
1874,march,-0.673,1874-03
1874,april,-0.437,1874-04
1874,may,-0.334,1874-05
1874,june,-0.566,1874-06
1874,july,-0.167,1874-07
1874,august,-0.296,1874-08
1874,september,-0.168,1874-09
1874,october,-0.471,1874-10
1874,november,-0.418,1874-11
1874,december,-0.312,1874-12
1875,january,-0.571,1875-01
1875,february,-0.479,1875-02
1875,march,-0.564,1875-03
1875,april,-0.358,1875-04
1875,may,-0.273,1875-05
1875,june,-0.28,1875-06
1875,july,-0.182,1875-07
1875,august,-0.246,1875-08
1875,september,-0.234,1875-09
1875,october,-0.233,1875-10
1875,november,-0.509,1875-11
1875,december,-0.577,1875-12
1876,january,-0.514,1876-01
1876,february,-0.337,1876-02
1876,march,-0.362,1876-03
1876,april,-0.424,1876-04
1876,may,-0.59,1876-05
1876,june,-0.352,1876-06
1876,july,-0.214,1876-07
1876,august,-0.327,1876-08
1876,september,-0.418,1876-09
1876,october,-0.3,1876-10
1876,november,-0.607,1876-11
1876,december,-0.643,1876-12
1877,january,-0.411,1877-01
1877,february,-0.209,1877-02
1877,march,-0.091,1877-03
1877,april,-0.346,1877-04
1877,may,-0.411,1877-05
1877,june,-0.138,1877-06
1877,july,-0.016,1877-07
1877,august,0.211,1877-08
1877,september,0.108,1877-09
1877,october,0.113,1877-10
1877,november,0.034,1877-11
1877,december,-0.056,1877-12
1878,january,-0.07,1878-01
1878,february,0.229,1878-02
1878,march,0.361,1878-03
1878,april,0.189,1878-04
1878,may,-0.122,1878-05
1878,june,0.01,1878-06
1878,july,-0.077,1878-07
1878,august,-0.047,1878-08
1878,september,0.021,1878-09
1878,october,-0.165,1878-10
1878,november,-0.143,1878-11
1878,december,-0.323,1878-12
1879,january,-0.238,1879-01
1879,february,-0.266,1879-02
1879,march,-0.258,1879-03
1879,april,-0.382,1879-04
1879,may,-0.344,1879-05
1879,june,-0.283,1879-06
1879,july,-0.264,1879-07
1879,august,-0.265,1879-08
1879,september,-0.236,1879-09
1879,october,-0.159,1879-10
1879,november,-0.397,1879-11
1879,december,-0.55,1879-12
1880,january,-0.394,1880-01
1880,february,-0.45,1880-02
1880,march,-0.194,1880-03
1880,april,-0.338,1880-04
1880,may,-0.325,1880-05
1880,june,-0.381,1880-06
1880,july,-0.315,1880-07
1880,august,-0.107,1880-08
1880,september,-0.297,1880-09
